Agency,Population,Murder,Manslaughter,Rape,Fondling,Aggravated Assault,Aggravated Stalking,Simple Assault,"Threat/
Intimidation",Stalking,Total,,,
Lake Helen Police Department,"2,691",0,0,0,0,0,0,14,0,0,14,,,
Orange City Police Department,"11,850",1,0,1,0,15,0,59,0,0,76,,,
Port Orange Police Department,"59,625",1,0,0,0,11,0,140,0,0,152,,,
South Daytona Police Department,"12,677",0,0,0,0,18,0,91,1,0,110,,,
Ponce Inlet Police Department,"3,084",0,0,0,0,0,0,1,0,0,1,,,
Volusia County Beach Patrol,0,0,0,0,0,0,0,3,0,0,3,,,
Volusia DOC Inspector General,0,0,0,0,0,0,0,0,0,0,0,,,
FWC - Volusia,0,0,0,0,0,0,0,0,0,0,0,,,
FHP - Deland,0,0,0,0,0,1,0,0,0,0,1,,,
Wakulla  ,"31,909",0,0,0,0,14,0,45,1,0,60,,,
Wakulla County Sheriff's Office,"31,909",0,0,0,0,14,0,45,1,0,60,,,
Wakulla DOC Inspector General,0,0,0,0,0,0,0,0,0,0,0,,,
FWC - Wakulla,0,0,0,0,0,0,0,0,0,0,0,,,
FHP - Wakulla Co,0,0,0,0,0,0,0,0,0,0,0,,,
Walton  ,"65,301",1,0,6,5,73,1,471,2,1,560,,,
Walton County Sheriff's Office,"59,830",0,0,4,5,56,1,424,2,1,493,,,
DeFuniak Springs Police Department,"5,471",1,0,2,0,15,0,47,0,0,65,,,
Walton DOC Inspector General,0,0,0,0,0,0,0,0,0,0,0,,,
