disasterNumber,declarationDate,disasterName,incidentBeginDate,incidentEndDate,declarationType,stateCode,stateName,incidentType,entryDate,updateDate,closeoutDate,hash,lastRefresh
5157,2016-10-17T00:00:00.000Z,JUNKINS FIRE,2016-10-17T00:00:00.000Z,2016-10-26T00:00:00.000Z,Fire Management,CO,Colorado                      ,Fire,2016-10-19T00:00:00.000Z,2016-12-29T00:00:00.000Z,,648e9d15384a639832270830f7ff3c78,2018-07-10T16:22:08.399Z
5162,2016-11-12T00:00:00.000Z,PINNACLE MOUNTAIN FIRE,2016-11-12T00:00:00.000Z,2016-12-20T00:00:00.000Z,Fire Management,SC,South Carolina                ,Fire,2016-11-15T00:00:00.000Z,2017-10-05T00:00:00.000Z,,5844ad8787763e6fd26308ea35ad2223,2018-07-10T16:22:08.398Z
5166,2016-11-20T00:00:00.000Z,SOUTHEASTERN KENTUCKY FIRE COMPLEX ,2016-11-18T00:00:00.000Z,2016-11-22T00:00:00.000Z,Fire Management,KY,Kentucky                      ,Fire,2016-11-21T00:00:00.000Z,2018-07-12T00:00:00.000Z,,c31d873509dec0ba5012d48992957c88,2018-07-12T13:01:56.792Z
5168,2017-02-12T00:00:00.000Z,OKC FIRE COMPLEX,2017-02-12T00:00:00.000Z,,Fire Management,OK,Oklahoma                      ,Fire,2017-02-13T00:00:00.000Z,2017-02-13T00:00:00.000Z,,3636b09220dfc8557428a20565440311,2018-07-10T16:22:08.396Z
5155,2016-10-04T00:00:00.000Z,BEULAH HILL FIRE ,2016-10-04T00:00:00.000Z,2016-10-07T00:00:00.000Z,Fire Management,CO,Colorado                      ,Fire,2016-10-05T00:00:00.000Z,2016-10-18T00:00:00.000Z,,515c8f4288dd3bc259f544e7274566e4,2018-07-10T16:22:08.413Z
5145,2016-08-14T00:00:00.000Z,CLAYTON FIRE,2016-08-13T00:00:00.000Z,2016-08-22T00:00:00.000Z,Fire Management,CA,California                    ,Fire,2016-08-16T00:00:00.000Z,2016-10-18T00:00:00.000Z,,23d0b70f58fceae6afa89b23195c86e3,2018-07-10T16:22:08.418Z
5159,2016-11-09T00:00:00.000Z,FLIPPERS BEND FIRE,2016-11-05T00:00:00.000Z,2016-12-03T00:00:00.000Z,Fire Management,TN,Tennessee                     ,Fire,2016-11-10T00:00:00.000Z,2017-08-09T00:00:00.000Z,,6090fe82a0c0d43444cf1609644ee45c,2018-07-10T16:22:08.422Z
5153,2016-08-31T00:00:00.000Z,GOLD CANYON FIRE ,2016-08-30T00:00:00.000Z,2016-09-01T00:00:00.000Z,Fire Management,OR,Oregon                        ,Fire,2016-08-31T00:00:00.000Z,2016-10-18T00:00:00.000Z,,afcf71c08f6ff82e9edb3c7a0e59f350,2018-07-10T16:22:08.414Z
5163,2016-11-13T00:00:00.000Z,TATUM GULF FIRE,2016-11-13T00:00:00.000Z,2016-12-02T00:00:00.000Z,Fire Management,GA,Georgia                       ,Fire,2016-11-15T00:00:00.000Z,2018-07-12T00:00:00.000Z,,efedc0eefc6ba1fd2eaa38a52c9ac15a,2018-07-12T13:01:56.791Z
5143,2016-08-01T00:00:00.000Z,ROARING LION FIRE,2016-08-01T00:00:00.000Z,,Fire Management,MT,Montana                       ,Fire,2016-08-02T00:00:00.000Z,2016-08-02T00:00:00.000Z,,e1803aa27ee74541268d30d6d2661d28,2018-07-10T16:22:08.419Z
5171,2017-03-06T00:00:00.000Z,CLARK COUNTY FIRE,2017-03-04T00:00:00.000Z,2017-03-15T00:00:00.000Z,Fire Management,KS,Kansas                        ,Fire,2017-03-08T00:00:00.000Z,2017-03-31T00:00:00.000Z,,ba643a4d562312f77b4e82c4ac5a12a0,2018-07-10T16:22:08.431Z
5147,2016-08-16T00:00:00.000Z,BLUE CUT FIRE,2016-08-16T00:00:00.000Z,2016-08-22T00:00:00.000Z,Fire Management,CA,California                    ,Fire,2016-08-17T00:00:00.000Z,2016-10-18T00:00:00.000Z,,4ed1eafa07bdf58fccbe174ac63e0a26,2018-07-10T16:22:08.423Z
5148,2016-08-22T00:00:00.000Z,WELLESLEY FIRE ,2016-08-21T00:00:00.000Z,2016-08-24T00:00:00.000Z,Fire Management,WA,Washington                    ,Fire,2016-08-22T00:00:00.000Z,2016-12-29T00:00:00.000Z,,7f58c6e102fd151c9afff98e1fa27ab9,2018-07-10T16:22:08.436Z
5158,2016-11-08T00:00:00.000Z,EAGLES NEST FIRE,2016-11-08T00:00:00.000Z,2016-11-21T00:00:00.000Z,Fire Management,KY,Kentucky                      ,Fire,2016-11-10T00:00:00.000Z,2018-07-12T00:00:00.000Z,,65d9cc9292ea9c9269545b14f8aaf7fc,2018-07-12T12:24:41.212Z
