,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
United Nations,,,,,,,,,,,,,,,,,
Population Division,,,,,,,,,,,,,,,,,
Department of Economic and Social Affairs,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
World Population Prospects: The 2017 Revision,,,,,,,,,,,,,,,,,
"File MORT/1-1: Infant mortality rate (both sexes combined) by region, subregion and country, 1950-2100 (infant deaths per 1,000 live births)",,,,,,,,,,,,,,,,,
"Estimates, 1950 - 2015",,,,,,,,,,,,,,,,,
POP/DB/WPP/Rev.2017/MORT/F01-1,,,,,,,,,,,,,,,,,
June 2017 - Copyright © 2017 by United Nations. All rights reserved,,,,,,,,,,,,,,,,,
"Suggested citation: United Nations, Department of Economic and Social Affairs, Population Division (2017). World Population Prospects: The 2017 Revision, DVD Edition.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,"Infant mortality rate, 1q0, for both sexes combined (infant deaths per 1,000 live births)",,,,,,,,,,,,
Index,Variant,"Region, subregion, country or area *",Notes,Country code,1950-1955,1955-1960,1960-1965,1965-1970,1970-1975,1975-1980,1980-1985,1985-1990,1990-1995,1995-2000,2000-2005,2005-2010,2010-2015
77,Estimates,Eastern Asia,,906,   122,   122,   125,   88,   66,   50,   41,   40,   37,   32,   23,   16,   11
78,Estimates,China,4,156,   129,   131,   135,   94,   72,   55,   45,   42,   40,   34,   25,   17,   12
79,Estimates,"China, Hong Kong SAR",5,344,   62,   46,   34,   25,   17,   13,   9,   7,   5,   4,   3,   2,   2
80,Estimates,"China, Macao SAR",6,446,   66,   56,   44,   35,   26,   20,   15,   11,   9,   6,   5,   4,   3
81,Estimates,"China, Taiwan Province of China",,158,   79,   57,   48,   40,   15,   11,   8,   6,   5,   7,   6,   5,   4
82,Estimates,Dem. People's Republic of Korea,,408,   122,   83,   80,   58,   45,   36,   31,   27,   42,   58,   28,   27,   19
83,Estimates,Japan,,392,   48,   36,   25,   16,   12,   8,   6,   5,   4,   4,   3,   3,   2
84,Estimates,Mongolia,,496,   183,   165,   135,   119,   107,   104,   102,   92,   68,   54,   41,   31,   23
85,Estimates,Republic of Korea,,410,   138,   114,   90,   64,   39,   34,   25,   16,   10,   7,   5,   4,   3
86,Estimates,South-Central Asia,7,921,   194,   175,   159,   147,   139,   121,   106,   94,   82,   72,   61,   51,   43
87,Estimates,Central Asia,,5500,   126,   117,   108,   99,   90,   82,   75,   68,   63,   56,   48,   38,   29
88,Estimates,Kazakhstan,,398,   110,   102,   93,   85,   77,   69,   60,   52,   51,   43,   32,   24,   14
89,Estimates,Kyrgyzstan,,417,   140,   130,   120,   110,   100,   90,   80,   70,   60,   48,   38,   30,   20
90,Estimates,Tajikistan,,762,   160,   151,   142,   133,   125,   116,   107,   98,   88,   72,   63,   49,   39
91,Estimates,Turkmenistan,,795,   150,   140,   130,   120,   111,   101,   91,   81,   75,   68,   62,   54,   47
92,Estimates,Uzbekistan,,860,   125,   115,   105,   94,   84,   78,   71,   65,   59,   55,   50,   41,   31
93,Estimates,Southern Asia,,5501,   196,   177,   161,   149,   141,   123,   108,   95,   83,   72,   61,   52,   44
94,Estimates,Afghanistan,,4,   280,   255,   234,   216,   198,   180,   159,   134,   111,   99,   89,   77,   69
95,Estimates,Bangladesh,,50,   220,   189,   166,   152,   183,   140,   126,   109,   90,   73,   56,   43,   33
96,Estimates,Bhutan,,64,   246,   226,   202,   176,   151,   131,   110,   92,   76,   62,   52,   40,   30
97,Estimates,India,,356,   186,   170,   157,   147,   136,   121,   106,   93,   82,   71,   60,   50,   41
98,Estimates,Iran (Islamic Republic of),,364,   220,   198,   175,   154,   124,   95,   71,   50,   40,   32,   25,   19,   15
99,Estimates,Maldives,,462,   268,   247,   222,   191,   157,   122,   95,   76,   60,   44,   27,   15,   9
100,Estimates,Nepal,,524,   229,   224,   211,   189,   169,   150,   131,   110,   88,   68,   53,   41,   33
101,Estimates,Pakistan,,586,   256,   206,   171,   149,   135,   126,   119,   110,   102,   93,   84,   77,   70
102,Estimates,Sri Lanka,,144,   89,   74,   61,   53,   44,   36,   29,   24,   20,   16,   13,   10,   8
103,Estimates,South-Eastern Asia,,920,   156,   133,   115,   99,   86,   81,   68,   55,   47,   40,   34,   29,   24
104,Estimates,Brunei Darussalam,,96,   81,   67,   49,   39,   31,   25,   20,   16,   13,   10,   8,   6,   6
105,Estimates,Cambodia,,116,   142,   136,   134,   132,   139,   320,   153,   86,   86,   86,   66,   45,   30
106,Estimates,Indonesia,,360,   192,   166,   144,   124,   105,   92,   80,   68,   56,   45,   36,   30,   25
107,Estimates,Lao People's Democratic Republic,,418,   177,   167,   157,   147,   138,   130,   122,   108,   96,   82,   69,   57,   47
108,Estimates,Malaysia,8,458,   102,   81,   64,   48,   37,   28,   21,   16,   12,   9,   7,   7,   7
109,Estimates,Myanmar,,104,   213,   175,   156,   124,   112,   101,   90,   81,   73,   65,   58,   52,   45
110,Estimates,Philippines,,608,   97,   87,   77,   68,   59,   62,   55,   40,   36,   32,   28,   25,   22
111,Estimates,Singapore,,702,   61,   43,   29,   24,   19,   13,   9,   5,   5,   4,   3,   2,   2
112,Estimates,Thailand,,764,   127,   109,   93,   78,   63,   51,   42,   33,   26,   21,   17,   13,   11
113,Estimates,Timor-Leste,,626,   264,   242,   221,   201,   183,   253,   184,   141,   119,   85,   64,   50,   44
114,Estimates,Viet Nam,,704,   104,   81,   67,   57,   54,   46,   41,   37,   34,   29,   25,   22,   19
115,Estimates,Western Asia,,922,   192,   172,   152,   131,   113,   92,   72,   57,   48,   38,   31,   25,   23
116,Estimates,Armenia,,51,   83,   78,   73,   68,   63,   58,   53,   48,   44,   35,   27,   21,   13
117,Estimates,Azerbaijan,9,31,   120,   115,   110,   105,   100,   95,   90,   85,   82,   65,   54,   41,   31
118,Estimates,Bahrain,,48,   172,   147,   105,   71,   47,   32,   23,   18,   15,   12,   10,   8,   7
119,Estimates,Cyprus,10,196,   65,   51,   40,   32,   25,   19,   15,   12,   9,   7,   6,   4,   4
120,Estimates,Georgia,11,268,   80,   73,   66,   59,   52,   49,   47,   44,   45,   38,   29,   20,   11
121,Estimates,Iraq,,368,   225,   170,   129,   91,   73,   57,   43,   40,   37,   36,   35,   33,   32
122,Estimates,Israel,,376,   39,   33,   28,   24,   21,   17,   14,   11,   8,   6,   5,   4,   3
123,Estimates,Jordan,,400,   147,   120,   96,   77,   66,   54,   43,   34,   29,   26,   22,   20,   17
124,Estimates,Kuwait,,414,   124,   94,   71,   54,   42,   33,   24,   16,   13,   11,   10,   10,   8
125,Estimates,Lebanon,,422,   68,   60,   53,   47,   42,   38,   35,   30,   25,   19,   14,   11,   9
126,Estimates,Oman,,512,   211,   180,   154,   131,   109,   83,   59,   42,   31,   22,   15,   10,   10
127,Estimates,Qatar,,634,   106,   87,   69,   51,   37,   29,   23,   18,   15,   12,   9,   8,   7
128,Estimates,Saudi Arabia,,682,   202,   181,   160,   137,   105,   77,   56,   41,   30,   23,   17,   15,   13
129,Estimates,State of Palestine,12,275,   140,   131,   117,   99,   83,   66,   51,   40,   33,   28,   25,   22,   20
130,Estimates,Syrian Arab Republic,,760,   141,   124,   108,   90,   71,   55,   43,   33,   26,   21,   18,   15,   18
131,Estimates,Turkey,,792,   217,   201,   179,   160,   145,   120,   95,   73,   56,   37,   25,   16,   13
132,Estimates,United Arab Emirates,,784,   181,   143,   110,   79,   57,   41,   30,   22,   16,   12,   9,   7,   6
133,Estimates,Yemen,,887,   251,   251,   251,   213,   180,   147,   117,   95,   84,   75,   68,   53,   47
134,Estimates,EUROPE,,908,   72,   50,   37,   30,   25,   22,   18,   16,   13,   10,   8,   6,   5
